11,  0x44,"Post-flooding or irrigated croplands (or aquatic)"
14,  0x55,"Rainfed croplands"
20,  0x24,"Mosaic cropland (50-70%) / vegetation (grassland/shrubland/forest) (20-50%)"
30,  0x42,"Mosaic vegetation (grassland/shrubland/forest) (50-70%) / cropland (20-50%) "
40,  0x21,"Closed to open (>15%) broadleaved evergreen or semi-deciduous forest (>5m)"
50,  0x22,"Closed (>40%) broadleaved deciduous forest (>5m)"
60,  0x21,"Open (15-40%) broadleaved deciduous forest/woodland (>5m)"
70,  0x33,"Closed (>40%) needleleaved evergreen forest (>5m)"
90,  0x31,"Open (15-40%) needleleaved deciduous or evergreen forest (>5m)"
100, 0x32,"Closed to open (>15%) mixed broadleaved and needleleaved forest (>5m)"
110, 0x11,"Mosaic forest or shrubland (50-70%) / grassland (20-50%)"
120, 0x12,"Mosaic grassland (50-70%) / forest or shrubland (20-50%) "
130, 0x21,"Closed to open (>15%) (broadleaved or needleleaved, evergreen or deciduous) shrubland (<5m)"
140, 0x21,"Closed to open (>15%) herbaceous vegetation (grassland, savannas or lichens/mosses)"
150, 0x11,"Sparse (<15%) vegetation"
160, 0x24,"Closed to open (>15%) broadleaved forest regularly flooded (semi-permanently or temporarily) - Fresh or brackish water"
170, 0x25,"Closed (>40%) broadleaved forest or shrubland permanently flooded - Saline or brackish water"
180, 0x24,"Closed to open (>15%) grassland or woody vegetation on regularly flooded or waterlogged soil - Fresh, brackish or saline water"
190, 0x88,"Artificial surfaces and associated areas (Urban areas >50%)"
200, 0xAA,"Bare areas"
210, 0xAA,"Waterbodies"
220, 0xCC,"Permanent snow and ice"
230, 0xAA,"No data (burnt areas, clouds)"
